date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:17:18	17912/17912	---M-Z	200	added ('OK')	text/html	etag:%2215181179-45f8-561c91dfbd326%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/index.html	(from )
11:17:18	13/13	---M--	200	added ('OK')	text/plain	etag:%2214f00210-d-54bd9ec6f98cb%22	https://pixinvent.com/robots.txt		(from )
11:17:20	124962/124962	---MCZ	200	added ('OK')	text/css	etag:W/%223ffbab350748e841d3768b5d1ca48933%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta/css/bootstrap.min.css	C:/Users/KASHIF%20KAZMI/Desktop/blue/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta/css/bootstrap.min.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/)
11:17:24	124/124	---M--	302	error ('Found')	text/html	date:Tue,%2009%20Jan%202018%2005:47:04%20GMT	https://unpkg.com/feather-icons/dist/feather.min.js	C:/Users/KASHIF%20KAZMI/Desktop/blue/unpkg.com/feather-icons/dist/feather.min.1.delayed	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/)
11:17:29	71973/71973	---MCZ	200	added ('OK')	application/javascript	etag:W/%2211925-1607cf9c198%22	https://unpkg.com/feather-icons@4.5.0/dist/feather.min.js	C:/Users/KASHIF%20KAZMI/Desktop/blue/unpkg.com/feather-icons@4.5.0/dist/feather.min.js	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/)
11:17:41	415/415	---M--	200	added ('OK')	image/png	etag:%221518108c-19f-55af6e9e6e936%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/favicon1.png	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/favicon1.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/)
11:17:42	8007/8007	---M--	200	added ('OK')	text/css	etag:%2215760011-1f47-55af6bf8c0811%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/css/style.css	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/css/style.css	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/)
11:17:44	4271/4271	---M--	200	added ('OK')	image/png	etag:%221576186c-10af-55a3fb3d3e080%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/images/logo-big-white.png	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/images/logo-big-white.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/)
11:17:45	100315/100315	---M--	200	added ('OK')	image/png	etag:%2214f0422a-187db-55b2f78690719%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/images/demo-1.png	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/images/demo-1.png	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/)
11:17:46	3120/3120	---M-Z	200	added ('OK')	text/html	etag:%22154019f6-c30-5614c4b83a7ec%22	https://pixinvent.com/apex-angular-4-bootstrap-admin-template/demo-2/	C:/Users/KASHIF%20KAZMI/Desktop/blue/pixinvent.com/apex-angular-4-bootstrap-admin-template/demo-2/index.html	(from https://pixinvent.com/apex-angular-4-bootstrap-admin-template/)
